rank	selection_reason	char	display_sample	codepoint	name	category	script	block	age	emoji	requires_base	standalone_safe	windows_font_covered	shape_hints
1565	区块与文字系统多样性	⺑	⺑	U+2E91	CJK RADICAL LAME FOUR	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1566	区块与文字系统多样性	⺒	⺒	U+2E92	CJK RADICAL SNAKE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1567	区块与文字系统多样性	⺓	⺓	U+2E93	CJK RADICAL THREAD	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1568	区块与文字系统多样性	⺔	⺔	U+2E94	CJK RADICAL SNOUT ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1569	区块与文字系统多样性	⺕	⺕	U+2E95	CJK RADICAL SNOUT TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1570	区块与文字系统多样性	⺙	⺙	U+2E99	CJK RADICAL RAP	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1571	区块与文字系统多样性	⺛	⺛	U+2E9B	CJK RADICAL CHOKE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1572	区块与文字系统多样性	⺞	⺞	U+2E9E	CJK RADICAL DEATH	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1573	区块与文字系统多样性	⺟	⺟	U+2E9F	CJK RADICAL MOTHER	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1574	区块与文字系统多样性	⺠	⺠	U+2EA0	CJK RADICAL CIVILIAN	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1575	区块与文字系统多样性	⺡	⺡	U+2EA1	CJK RADICAL WATER ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1576	区块与文字系统多样性	⺢	⺢	U+2EA2	CJK RADICAL WATER TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1577	区块与文字系统多样性	⺣	⺣	U+2EA3	CJK RADICAL FIRE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1578	区块与文字系统多样性	⺤	⺤	U+2EA4	CJK RADICAL PAW ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1579	区块与文字系统多样性	⺥	⺥	U+2EA5	CJK RADICAL PAW TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1580	区块与文字系统多样性	⺦	⺦	U+2EA6	CJK RADICAL SIMPLIFIED HALF TREE TRUNK	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1581	区块与文字系统多样性	⺧	⺧	U+2EA7	CJK RADICAL COW	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1582	区块与文字系统多样性	⺨	⺨	U+2EA8	CJK RADICAL DOG	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1583	区块与文字系统多样性	⺩	⺩	U+2EA9	CJK RADICAL JADE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1584	区块与文字系统多样性	⺪	⺪	U+2EAA	CJK RADICAL BOLT OF CLOTH	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1585	区块与文字系统多样性	⺬	⺬	U+2EAC	CJK RADICAL SPIRIT ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1586	区块与文字系统多样性	⺭	⺭	U+2EAD	CJK RADICAL SPIRIT TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1587	区块与文字系统多样性	⺮	⺮	U+2EAE	CJK RADICAL BAMBOO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1588	区块与文字系统多样性	⺯	⺯	U+2EAF	CJK RADICAL SILK	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1589	区块与文字系统多样性	⺰	⺰	U+2EB0	CJK RADICAL C-SIMPLIFIED SILK	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1590	区块与文字系统多样性	⺱	⺱	U+2EB1	CJK RADICAL NET ONE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1591	区块与文字系统多样性	⺲	⺲	U+2EB2	CJK RADICAL NET TWO	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1592	区块与文字系统多样性	⺳	⺳	U+2EB3	CJK RADICAL NET THREE	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1593	区块与文字系统多样性	⺴	⺴	U+2EB4	CJK RADICAL NET FOUR	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1594	区块与文字系统多样性	⺵	⺵	U+2EB5	CJK RADICAL MESH	So	Han	CJK Radicals Supplement	3.0	false	false	true	true	
1595	区块与文字系统多样性	⼀	⼀	U+2F00	KANGXI RADICAL ONE	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1596	区块与文字系统多样性	⼃	⼃	U+2F03	KANGXI RADICAL SLASH	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1597	区块与文字系统多样性	⼄	⼄	U+2F04	KANGXI RADICAL SECOND	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1598	区块与文字系统多样性	⼆	⼆	U+2F06	KANGXI RADICAL TWO	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1599	区块与文字系统多样性	⼇	⼇	U+2F07	KANGXI RADICAL LID	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1600	区块与文字系统多样性	⼈	⼈	U+2F08	KANGXI RADICAL MAN	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1601	区块与文字系统多样性	⼉	⼉	U+2F09	KANGXI RADICAL LEGS	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1602	区块与文字系统多样性	⼊	⼊	U+2F0A	KANGXI RADICAL ENTER	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1603	区块与文字系统多样性	⼋	⼋	U+2F0B	KANGXI RADICAL EIGHT	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1604	区块与文字系统多样性	⼍	⼍	U+2F0D	KANGXI RADICAL COVER	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1605	区块与文字系统多样性	⼎	⼎	U+2F0E	KANGXI RADICAL ICE	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1606	区块与文字系统多样性	⼏	⼏	U+2F0F	KANGXI RADICAL TABLE	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1607	区块与文字系统多样性	⼑	⼑	U+2F11	KANGXI RADICAL KNIFE	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1608	区块与文字系统多样性	⼒	⼒	U+2F12	KANGXI RADICAL POWER	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1609	区块与文字系统多样性	⼓	⼓	U+2F13	KANGXI RADICAL WRAP	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1610	区块与文字系统多样性	⼔	⼔	U+2F14	KANGXI RADICAL SPOON	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1611	区块与文字系统多样性	⼖	⼖	U+2F16	KANGXI RADICAL HIDING ENCLOSURE	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1612	区块与文字系统多样性	⼗	⼗	U+2F17	KANGXI RADICAL TEN	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1613	区块与文字系统多样性	⼘	⼘	U+2F18	KANGXI RADICAL DIVINATION	So	Han	Kangxi Radicals	3.0	false	false	true	true	
1614	区块与文字系统多样性	⼙	⼙	U+2F19	KANGXI RADICAL SEAL	So	Han	Kangxi Radicals	3.0	false	false	true	true	
