char	codepoint	unicode_name	gardiner	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	components	largest_hole_ratio	vertical_symmetry	horizontal_symmetry	source	status	algorithm
𓀱	U+13031	EGYPTIAN HIEROGLYPH A042A	A042a	jj	20	e	椭圆	s	1	e	空心低填充	jjee	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S1;组状态首选s;唯一键平衡→e	true	0.470534	0.8542	0.1293	2	0.1782	0.8125	0.8013	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀲	U+13032	EGYPTIAN HIEROGLYPH A043	A043	jj	4	n	成列成排	s	1	o	外包	jjno	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C4→n;族内视觉组S1;组状态首选s;唯一键平衡→o	true	0.495498	0.6146	0.1111	1	0.1206	0.8125	0.8153	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀳	U+13033	EGYPTIAN HIEROGLYPH A043A	A043a	jj	24	c	曲弧	s	2	s	对称	jjcs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C24→c;族内视觉组S2;组状态首选s;采用首选→s	false	0.226211	0.5833	0.1174	1	0.1150	0.8151	0.8092	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀴	U+13034	EGYPTIAN HIEROGLYPH A044	A044	jj	23	h	枝杈	s	4	s	对称	jjhs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C23→h;族内视觉组S4;组状态首选s;采用首选→s	false	0.356436	0.7812	0.1132	1	0.0951	0.8381	0.8158	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀵	U+13035	EGYPTIAN HIEROGLYPH A045	A045	jj	24	c	曲弧	s	0	c	闭合	jjcc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C24→c;族内视觉组S0;组状态首选s;唯一键平衡→c	true	0.258517	0.6458	0.1253	1	0.1169	0.8327	0.7964	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀶	U+13036	EGYPTIAN HIEROGLYPH A045A	A045a	jj	24	c	曲弧	s	0	c	闭合	jjcc	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C24→c;族内视觉组S0;组状态首选s;唯一键平衡→c	true	0.288653	0.6562	0.1316	1	0.1162	0.8132	0.7943	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀷	U+13037	EGYPTIAN HIEROGLYPH A046	A046	jj	23	h	枝杈	s	4	s	对称	jjhs	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C23→h;族内视觉组S4;组状态首选s;采用首选→s	false	0.385535	0.8125	0.1239	1	0.0935	0.8125	0.8018	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀸	U+13038	EGYPTIAN HIEROGLYPH A047	A047	jj	20	e	椭圆	i	0	o	外包	jjeo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S0;组状态首选i;唯一键平衡→o	true	0.340597	0.8542	0.1128	2	0.2139	0.8216	0.8186	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀹	U+13039	EGYPTIAN HIEROGLYPH A048	A048	jj	20	e	椭圆	i	0	o	外包	jjeo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S0;组状态首选i;唯一键平衡→o	true	0.309276	0.7292	0.1168	1	0.2399	0.8092	0.8182	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀺	U+1303A	EGYPTIAN HIEROGLYPH A049	A049	jj	20	e	椭圆	i	0	o	外包	jjeo	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C20→e;族内视觉组S0;组状态首选i;唯一键平衡→o	true	0.286389	0.7292	0.1155	1	0.2393	0.8185	0.8131	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
𓀻	U+1303B	EGYPTIAN HIEROGLYPH A050	A050	jj	14	f	人物轮廓	s	8	i	内含	jjfi	jj:生命形（人物、人体、动物、鸟、鱼）;视觉聚类C14→f;族内视觉组S8;组状态首选s;唯一键平衡→i	true	0.370129	0.7917	0.1143	1	0.1017	0.8054	0.8136	30_项目/个人Unicode音型输入法/数据/𓆟Egyptian Hieroglyph字块.md	machine-initial-v3	visual-balanced-4prefix-v3
