char	codepoint	unicode_name	category	block	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
௦	U+0BE6	TAMIL DIGIT ZERO	Nd	tamil	pi	6	z	阶梯锯齿	s	0	o	外包	pizo	tamil视觉聚类C6;状态组S0	true	0.625800	0.9259	0.2430	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௧	U+0BE7	TAMIL DIGIT ONE	Nd	tamil	pi	12	k	绳结	s	0	s	对称	piks	tamil视觉聚类C12;状态组S0	false	0.283335	1.4423	0.2877	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௨	U+0BE8	TAMIL DIGIT TWO	Nd	tamil	pi	4	n	成列成排	s	0	w	宽展	pinw	tamil视觉聚类C4;状态组S0	true	0.257235	1.7358	0.2112	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௩	U+0BE9	TAMIL DIGIT THREE	Nd	tamil	pi	9	o	圆环	s	0	s	对称	pios	tamil视觉聚类C9;状态组S0	false	0.311950	1.6863	0.2613	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௪	U+0BEA	TAMIL DIGIT FOUR	Nd	tamil	pi	6	z	阶梯锯齿	s	0	o	外包	pizo	tamil视觉聚类C6;状态组S0	true	0.618720	1.5962	0.2530	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௫	U+0BEB	TAMIL DIGIT FIVE	Nd	tamil	pi	3	i	细柱	s	0	w	宽展	piiw	tamil视觉聚类C3;状态组S0	true	0.585110	1.1310	0.2554	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௬	U+0BEC	TAMIL DIGIT SIX	Nd	tamil	pi	11	w	波浪流线	s	0	x	穿过交叠	piwx	tamil视觉聚类C11;状态组S0	true	0.398980	1.8077	0.2694	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௭	U+0BED	TAMIL DIGIT SEVEN	Nd	tamil	pi	5	g	动物有机体	s	1	s	对称	pigs	tamil视觉聚类C5;状态组S1	false	0.211402	1.4038	0.2503	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௮	U+0BEE	TAMIL DIGIT EIGHT	Nd	tamil	pi	9	o	圆环	s	1	o	外包	pioo	tamil视觉聚类C9;状态组S1	true	0.310174	1.5231	0.2357	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
௯	U+0BEF	TAMIL DIGIT NINE	Nd	tamil	pi	13	v	开口V形	s	0	s	对称	pivs	tamil视觉聚类C13;状态组S0	false	0.314288	1.8462	0.2967	30_项目/个人Unicode音型输入法/数据/unicode全字符/plane-00-Basic Multilingual Plane/block-u0b80-u0bff-tamil.md	machine-initial-v1	visual-balanced-unicode-block-v1
